ENSG00000251562,ENSG00000167996,ENSG00000087086,ENSG00000198804,target_type
4.7617655,5.069638,4.5444975,4.7766757,classical monocyte
4.8292212,6.206528,3.5117218,4.6484966,conventional dendritic cell
5.630881,6.020488,6.599328,4.5786085,macrophage
5.7650213,5.8167577,6.9068427,5.043788,macrophage
4.689822,5.5149736,5.6122375,5.2702603,alternatively activated macrophage
4.87093,4.989866,5.4653115,5.1521645,alternatively activated macrophage
5.569545,6.4479203,5.0915265,5.171096,macrophage
4.4828653,5.6883426,3.1449769,4.791051,conventional dendritic cell
4.154944,5.2206903,4.978947,5.1007547,classical monocyte
4.66307,5.8845787,3.9606273,4.5546,conventional dendritic cell
3.927659,5.460384,4.6644564,4.6986227,classical monocyte
3.8554392,6.2608833,2.7039194,5.0472045,myeloid cell
4.117388,6.27381,4.98331,5.248334,classical monocyte
5.6157002,5.5049024,7.1363444,4.5545063,macrophage
4.73654,5.8058286,5.328106,4.9439754,classical monocyte
4.7481217,5.452363,3.387499,4.579827,conventional dendritic cell
5.3862886,5.697434,4.9321775,4.629368,classical monocyte
4.752027,5.780521,4.546378,4.8960414,classical monocyte
4.83171,4.873937,5.406281,4.873937,alternatively activated macrophage
4.6422243,6.166119,5.4254117,4.253811,classical monocyte
4.354053,6.48036,4.9138007,4.86763,inflammatory macrophage
5.000636,5.852638,5.3629813,5.165994,non-classical monocyte
5.0943313,5.349373,4.7933145,5.0632734,alternatively activated macrophage
5.808048,6.0445013,6.164011,5.100778,macrophage
4.7382045,5.8028765,4.3852744,4.9727483,classical monocyte
4.4402823,6.1486845,4.040696,4.2381644,conventional dendritic cell
4.495085,5.608616,4.1808085,4.669899,conventional dendritic cell
4.9055166,4.8308716,5.464013,5.1471467,alternatively activated macrophage
4.482147,3.4059012,4.0823207,4.8580594,conventional dendritic cell
6.363243,5.88026,5.1709623,5.226742,classical monocyte
3.9877498,6.615367,4.7509055,4.5393877,alternatively activated macrophage
4.650401,5.302568,4.7827373,4.5770283,classical monocyte
5.008313,5.2858553,4.7172403,5.008313,classical monocyte
4.423947,4.2875705,5.231754,4.7006035,classical monocyte
4.9921684,5.28243,5.1695404,4.491526,macrophage
3.8185716,5.7140346,4.9446864,4.8732443,alternatively activated macrophage
4.762067,5.6892467,4.3338223,4.648692,conventional dendritic cell
5.1012692,5.5991135,4.202673,4.202673,conventional dendritic cell
4.6847706,5.8001266,4.6847706,5.384797,classical monocyte
5.431212,6.1221676,5.0497694,4.8984833,classical monocyte
4.959807,5.9415336,4.1391106,4.1628284,inflammatory macrophage
4.083909,6.527976,3.407463,4.9072533,conventional dendritic cell
5.7401423,3.9253557,7.1569963,5.019633,macrophage
4.4965034,6.443519,4.243041,5.0751476,conventional dendritic cell
4.4098077,5.569002,4.901476,4.9437256,alternatively activated macrophage
4.8787265,5.955491,4.8278337,4.8787265,classical monocyte
5.524992,5.7835917,5.7692475,4.687571,macrophage
5.6925673,4.7652626,6.3451953,4.9662232,macrophage
4.3572946,5.24507,5.595943,5.157264,alternatively activated macrophage
3.7177439,5.693494,3.4594057,5.0346856,conventional dendritic cell
4.35029,5.9318533,4.0232263,4.5446935,inflammatory macrophage
4.761391,5.767534,4.276582,4.7489204,conventional dendritic cell
4.9277134,5.950712,4.664802,4.900138,classical monocyte
4.975493,6.123437,4.975493,4.0847483,conventional dendritic cell
5.2082562,5.310904,6.8262525,5.2380757,macrophage
4.775256,5.6067123,4.609735,5.0983324,classical monocyte
